,character_data_0_player_number,character_data_0_hp,character_data_0_energy,character_data_0_x,character_data_0_y,character_data_0_left,character_data_0_right,character_data_0_top,character_data_0_bottom,character_data_0_speed_x,character_data_0_speed_y,character_data_0_state,character_data_0_action,character_data_0_front,character_data_0_control,character_data_0_attack_data_setting_hit_area_left,character_data_0_attack_data_setting_hit_area_right,character_data_0_attack_data_setting_hit_area_top,character_data_0_attack_data_setting_hit_area_bottom,character_data_0_attack_data_setting_speed_x,character_data_0_attack_data_setting_speed_y,character_data_0_attack_data_current_hit_area_left,character_data_0_attack_data_current_hit_area_right,character_data_0_attack_data_current_hit_area_top,character_data_0_attack_data_current_hit_area_bottom,character_data_0_attack_data_current_frame,character_data_0_attack_data_player_number,character_data_0_attack_data_speed_x,character_data_0_attack_data_speed_y,character_data_0_attack_data_start_up,character_data_0_attack_data_active,character_data_0_attack_data_hit_damage,character_data_0_attack_data_guard_damage,character_data_0_attack_data_start_add_energy,character_data_0_attack_data_hit_add_energy,character_data_0_attack_data_guard_add_energy,character_data_0_attack_data_give_energy,character_data_0_attack_data_impact_x,character_data_0_attack_data_impact_y,character_data_0_attack_data_give_guard_recov,character_data_0_attack_data_attack_type,character_data_0_attack_data_down_prop,character_data_0_attack_data_is_projectile,character_data_0_remaining_frame,character_data_0_hit_confirm,character_data_0_graphic_size_x,character_data_0_graphic_size_y,character_data_0_graphic_adjust_x,character_data_0_hit_count,character_data_0_last_hit_frame,character_data_1_player_number,character_data_1_hp,character_data_1_energy,character_data_1_x,character_data_1_y,character_data_1_left,character_data_1_right,character_data_1_top,character_data_1_bottom,character_data_1_speed_x,character_data_1_speed_y,character_data_1_state,character_data_1_action,character_data_1_front,character_data_1_control,character_data_1_attack_data_setting_hit_area_left,character_data_1_attack_data_setting_hit_area_right,character_data_1_attack_data_setting_hit_area_top,character_data_1_attack_data_setting_hit_area_bottom,character_data_1_attack_data_setting_speed_x,character_data_1_attack_data_setting_speed_y,character_data_1_attack_data_current_hit_area_left,character_data_1_attack_data_current_hit_area_right,character_data_1_attack_data_current_hit_area_top,character_data_1_attack_data_current_hit_area_bottom,character_data_1_attack_data_current_frame,character_data_1_attack_data_player_number,character_data_1_attack_data_speed_x,character_data_1_attack_data_speed_y,character_data_1_attack_data_start_up,character_data_1_attack_data_active,character_data_1_attack_data_hit_damage,character_data_1_attack_data_guard_damage,character_data_1_attack_data_start_add_energy,character_data_1_attack_data_hit_add_energy,character_data_1_attack_data_guard_add_energy,character_data_1_attack_data_give_energy,character_data_1_attack_data_impact_x,character_data_1_attack_data_impact_y,character_data_1_attack_data_give_guard_recov,character_data_1_attack_data_attack_type,character_data_1_attack_data_down_prop,character_data_1_attack_data_is_projectile,character_data_1_remaining_frame,character_data_1_hit_confirm,character_data_1_graphic_size_x,character_data_1_graphic_size_y,character_data_1_graphic_adjust_x,character_data_1_hit_count,character_data_1_last_hit_frame,current_frame_number,current_round,empty_flag,front_0,front_1
20,True,400,0,275,537,255,295,435,640,0,0,STAND,STAND,True,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,43,False,400,320,140,0,0,False,400,0,720,537,700,740,435,640,0,0,STAND,STAND,False,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,7,False,400,320,140,0,0,41,1,False,True,False
21,True,400,0,285,542,265,305,445,640,9,0,STAND,DASH,True,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,28,False,400,320,140,0,0,False,400,0,720,537,700,740,435,640,0,0,STAND,STAND,False,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,5,False,400,320,140,0,0,43,1,False,True,False
22,True,400,0,305,542,285,325,445,640,9,0,STAND,DASH,True,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,26,False,400,320,140,0,0,False,400,0,720,537,700,740,435,640,0,0,STAND,STAND,False,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,3,False,400,320,140,0,0,45,1,False,True,False
23,True,400,0,322,537,302,342,435,640,7,0,STAND,STAND,True,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,46,False,400,320,140,0,0,False,400,0,720,537,700,740,435,640,0,0,STAND,STAND,False,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,1,False,400,320,140,0,0,47,1,False,True,False
24,True,400,0,335,537,315,355,435,640,5,0,STAND,STAND,True,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,44,False,400,320,140,0,0,False,400,0,720,537,700,740,435,640,0,0,STAND,STAND,False,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,-1,False,400,320,140,0,0,49,1,False,True,False
25,True,400,0,350,542,330,370,445,640,9,0,STAND,DASH,True,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,28,False,400,320,140,0,0,False,400,0,720,537,700,740,435,640,0,0,STAND,STAND,False,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,-3,False,400,320,140,0,0,51,1,False,True,False
26,True,400,0,370,542,350,390,445,640,9,0,STAND,DASH,True,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,26,False,400,320,140,0,0,False,400,0,720,537,700,740,435,640,0,0,STAND,STAND,False,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,-5,False,400,320,140,0,0,53,1,False,True,False
27,True,400,0,387,537,367,407,435,640,7,0,STAND,STAND,True,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,46,False,400,320,140,0,0,False,400,0,720,537,700,740,435,640,0,0,STAND,STAND,False,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,-7,False,400,320,140,0,0,55,1,False,True,False
28,True,400,0,404,542,384,424,445,640,9,0,STAND,DASH,True,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,28,False,400,320,140,0,0,False,400,0,720,537,700,740,435,640,0,0,STAND,STAND,False,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,-9,False,400,320,140,0,0,57,1,False,True,False
29,True,400,0,424,542,404,444,445,640,9,0,STAND,DASH,True,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,26,False,400,320,140,0,0,False,400,0,720,537,700,740,435,640,0,0,STAND,STAND,False,True,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,-11,False,400,320,140,0,0,59,1,False,True,False
